address,bed_bath,more_info,price,status,zip_code
"360 E Randolph St APT 3503, Chicago, IL","3 bds · 4 ba · 3,014 sqft",http://www.zillow.com/homedetails/360-E-Randolph-St-APT-3503-Chicago-IL-60601/3869013_zpid/,"$2,400,000",Condo For Sale,60601
"363 E Wacker Dr # 2005, Chicago, IL","1 bd · 2 ba · 1,189 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2005-Chicago-IL-60601/2098683547_zpid/,"$979,070",New Construction,60601
"363 E Wacker Dr # 2105, Chicago, IL","1 bd · 2 ba · 1,201 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2105-Chicago-IL-60601/2095322134_zpid/,"$991,209",New Construction,60601
"363 E Wacker Dr # 2003, Chicago, IL","2 bds · 3 ba · 2,351 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2003-Chicago-IL-60601/2095327184_zpid/,"$1,739,223",New Construction,60601
"222 N Columbus Dr APT 4205, Chicago, IL",1 bd · 1 ba · 685 sqft,http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-4205-Chicago-IL-60601/80808618_zpid/,"$299,900",Condo For Sale,60601
"450 E Waterside Dr UNIT 709, Chicago, IL","1 bd · 2 ba · 1,024 sqft",http://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-709-Chicago-IL-60601/89902013_zpid/,"$495,000",Condo For Sale,60601
"363 E Wacker Dr # 3203, Chicago, IL","2 bds · 3 ba · 2,260 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3203-Chicago-IL-60601/2095327316_zpid/,"$1,752,630",New Construction,60601
"363 E Wacker Dr # 4805, Chicago, IL","2 bds · 2 ba · 1,383 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-4805-Chicago-IL-60601/2095321715_zpid/,"$1,688,804",New Construction,60601
"400 E Randolph St APT 2324, Chicago, IL",1 bd · 1 ba · 850 sqft,http://www.zillow.com/homedetails/400-E-Randolph-St-APT-2324-Chicago-IL-60601/3869492_zpid/,"$340,000",Condo For Sale,60601
"225 N Columbus Dr UNIT 7006, Chicago, IL","2 bds · 2 ba · 1,218 sqft",http://www.zillow.com/homedetails/225-N-Columbus-Dr-UNIT-7006-Chicago-IL-60601/121066948_zpid/,"$1,099,000",Condo For Sale,60601
"450 E Waterside Dr UNIT 1009, Chicago, IL","1 bd · 2 ba · 1,024 sqft",http://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-1009-Chicago-IL-60601/89960572_zpid/,"$514,000",Condo For Sale,60601
"363 E Wacker Dr # 2204, Chicago, IL","2 bds · 2 ba · 1,728 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2204-Chicago-IL-60601/2095322151_zpid/,"$1,729,901",New Construction,60601
"363 E Wacker Dr # 2907, Chicago, IL","1 bd · 2 ba · 1,317 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2907-Chicago-IL-60601/2095326593_zpid/,"$1,051,045",New Construction,60601
"363 E Wacker Dr # 4007, Chicago, IL","1 bd · 2 ba · 1,317 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-4007-Chicago-IL-60601/2095326410_zpid/,"$1,213,220",New Construction,60601
"363 E Wacker Dr # 3603, Chicago, IL","2 bds · 3 ba · 2,241 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3603-Chicago-IL-60601/2095322373_zpid/,"$1,811,624",New Construction,60601
"363 E Wacker Dr # 1707, Chicago, IL","1 bd · 2 ba · 1,310 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1707-Chicago-IL-60601/2095326620_zpid/,"$1,030,682",New Construction,60601
"363 E Wacker Dr # 1304, Chicago, IL","2 bds · 2 ba · 1,701 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1304-Chicago-IL-60601/2095322221_zpid/,"$1,654,903",New Construction,60601
"363 E Wacker Dr # 1404, Chicago, IL","2 bds · 2 ba · 1,701 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1404-Chicago-IL-60601/2095322194_zpid/,"$1,662,898",New Construction,60601
"222 N Columbus Dr APT 3309, Chicago, IL","2 bds · 2 ba · 1,225 sqft",http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-3309-Chicago-IL-60601/80814937_zpid/,"$450,000",Condo For Sale,60601
"363 E Wacker Dr # 8501, Chicago, IL","5 bds · 6 ba · 6,521 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-8501-Chicago-IL-60601/2098176078_zpid/,"$10,368,390",New Construction,60601
Sign in for details,Foreclosure Est. $265K · -- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=126074971,,Pre-Foreclosure,60601
Sign in for details,Foreclosure Est. $281K · -- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=126059118,,Pre-Foreclosure,60601
Sign in for details,Foreclosure Est. $377K · -- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=126086453,,Pre-Foreclosure (Auction),60601
Sign in for details,-- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=128635066,,Pre-Foreclosure,60601
Sign in for details,-- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=127100889,,Pre-Foreclosure,60601
